Nr;Tarih(UTC);Enlem;Boylam;Derinlik;Tip;Büyüklük
0;10.09.2018 15:07;36,9653;27,7633;6,93;Mw;4,3
0;6.09.2018 23:53;38,893;26,4483;11,62;Mw;4,2
0;26.07.2018 08:17;37,6546;26,6698;4,5;Mw;4,5
0;23.07.2018 02:40;37,5318;29,848;17,58;Mw;4,6
0;27.06.2018 01:00;38,8206;26,4095;7;Mw;4,2
0;26.04.2018 11:37;37,8166;29,3133;15,68;Mw;4,2
0;5.01.2018 04:33;37,1116;28,6075;13,31;Mw;4,2
0;4.01.2018 04:53;39,3356;27,9778;4,71;Mw;4
0;25.12.2017 05:13;38,5811;26,7285;17,91;Mw;4,8
0;24.11.2017 21:49;37,1146;28,6045;24,46;Mw;5,1
0;22.11.2017 20:22;37,1206;28,5921;24,75;Mw;5
0;11.11.2017 08:56;38,857;27,4725;18,09;Mw;4,4
0;5.10.2017 13:43;37,8671;29,5105;6,33;Mw;4
0;16.09.2017 08:33;37,1255;27,7191;11,28;Mw;4,2
0;8.09.2017 23:23;37,1208;27,7283;6,98;Mw;4
0;18.08.2017 12:47;36,9051;27,645;9,12;Mw;4,2
0;14.08.2017 02:43;37,1208;27,699;6,92;Mw;4,7
0;13.08.2017 16:35;37,1061;27,7338;7;Mw;4,3
0;13.08.2017 12:28;37,1186;27,694;6,56;Mw;4,1
0;13.08.2017 11:16;37,114;27,689;22,6;Mw;4,8
0;9.08.2017 22:56;36,9783;27,6608;13,74;Mw;4,1
0;9.08.2017 20:14;39,3031;27,8866;13,08;Mw;4
0;8.08.2017 07:42;36,9576;27,6236;11,03;Mw;5,1
0;8.08.2017 01:46;36,9738;27,6458;6,86;Mw;4,3
0;7.08.2017 18:25;36,9905;27,6285;9,14;Mw;4,1
0;7.08.2017 05:44;36,9616;27,6188;11,87;Mw;4,1
0;7.08.2017 05:18;36,9951;27,6128;12,67;Mw;4,6
0;5.08.2017 03:20;38,9431;26,6051;5,9;Mw;4,2
0;30.07.2017 17:51;36,9601;27,6333;20,97;Mw;4
0;30.07.2017 07:02;36,9956;27,5933;10,37;Mw;4,3
0;21.07.2017 09:55;36,91;27,678;14,7;Mw;4,2
0;21.07.2017 05:03;36,9195;27,6128;1,43;Mw;4,5
0;21.07.2017 00:16;37,0576;27,3166;19,03;Mw;4,1
0;20.07.2017 22:31;36,974;27,523;7,8;Mw;6,3
0;19.07.2017 04:42;38,7615;27,8196;11,36;Mw;4
0;5.07.2017 07:26;38,6205;27,62;10,26;Mw;4,1
0;26.06.2017 05:54;38,801;26,457;16,73;Mw;4,1
0;22.06.2017 08:56;38,6325;27,5446;16,53;Mw;4
0;22.06.2017 02:48;38,8216;26,453;13,5;Mw;5
0;17.06.2017 19:50;38,8381;26,436;10,25;Mw;5,3
0;17.06.2017 19:33;38,8185;26,4366;12,43;Mw;4,2
0;16.06.2017 13:25;38,7918;26,3946;18,38;Mw;4,2
0;13.06.2017 03:19;38,8465;26,4233;7,09;Mw;4
0;28.05.2017 11:04;38,735;27,7955;7,21;Mw;4,8
0;28.05.2017 08:49;38,7331;27,801;7,1;Mw;4,1
0;28.05.2017 07:34;38,7786;27,7755;7,21;Mw;4,1
0;28.05.2017 04:38;38,7365;27,806;9,78;Mw;4,5
0;28.05.2017 02:52;38,7115;27,7956;6,9;Mw;4,8
0;28.05.2017 02:50;38,7185;27,7843;8,64;Mw;4,6
0;28.05.2017 02:16;38,7436;27,8468;4,44;Mw;4
0;28.05.2017 02:14;38,7386;27,8025;9,17;Mw;4,4
0;27.05.2017 15:53;38,7358;27,8156;11,03;Mw;5,1
0;12.05.2017 05:55;37,8695;27,1431;7,05;Mw;4,2
0;8.05.2017 08:47;37,8695;27,1403;5,08;Mw;4,2
0;21.04.2017 14:12;38,6313;27,5873;13,2;Mw;4,9
0;21.04.2017 13:09;38,7923;29,0526;5,71;Mw;4,9
0;20.04.2017 14:11;39,3975;28,463;10,59;Mw;4,2
0;19.04.2017 11:23;38,636;27,6258;21,92;Mw;4,2
0;13.04.2017 16:22;37,1533;28,647;11,33;Mw;5
0;4.04.2017 13:00;38,6271;27,5836;18,4;Mw;4
0;2.04.2017 05:32;38,6275;27,5718;12,56;Mw;4,3
0;8.03.2017 20:09;39,965;27,6536;15,03;Mw;4,1
0;15.12.2016 16:43;37,104;28,6418;18,11;Mw;4,2
0;17.10.2016 01:30;37,9275;26,9261;10,36;Mw;4,4
0;15.10.2016 02:51;38,9298;27,7166;9,8;Mw;4,2
0;15.10.2016 02:49;38,9333;27,72;8,14;Mw;4,1
0;9.10.2016 06:21;39,0091;27,726;14,07;Mw;4
0;28.09.2016 09:10;37,933;29,1285;7,5;Mw;4
0;27.09.2016 18:11;37,9268;29,1198;7,22;Mw;4
0;12.09.2016 09:29;38,9023;27,7448;17,24;Mw;4,5
0;12.09.2016 08:26;38,905;27,7451;17,78;Mw;4,6
0;17.07.2016 20:58;37,9978;29,3981;9,48;Mw;4
0;3.07.2016 18:05;38,763;27,8053;9,82;Mw;4
0;5.06.2016 20:26;38,6085;26,6953;21,34;Mw;4,2
0;5.02.2016 13:25;36,9488;29,367;8,03;Mw;4
0;19.12.2015 11:14;38,6303;26,5821;4,78;Mw;4
0;2.12.2015 15:52;39,1495;28,154;10,85;Mw;4
0;18.11.2015 14:55;37,8023;29,3195;14,72;Mw;4,1
0;18.11.2015 10:35;37,8286;29,2956;17,09;Mw;4,1
0;13.10.2015 23:18;39,1143;29,0328;10,21;Mw;4,2
0;22.09.2015 07:11;39,1295;29,1071;6,1;Mw;4,3
0;22.09.2015 06:25;39,1271;29,118;9,33;Mw;4,3
0;13.09.2015 02:57;37,101;28,878;21,36;Mw;4,4
0;3.09.2015 08:23;39,1226;29,1225;10,24;Mw;4,1
0;25.07.2015 18:35;37,1431;28,6885;15,05;Mw;4,2
0;8.07.2015 22:14;37,5645;29,5395;27,88;Mw;4,2
0;6.07.2015 01:03;38,234;26,5638;15,52;Mw;4,1
